fips,county,num-1990-all,num-2015-all,num-1990-1025,num-2015-1025,num-1990-1021,num-2015-1021,num-1990-1024,num-2015-1024,num-1990-1026,num-2015-1026,num-1990-1013,num-2015-1013,num-1990-1023,num-2015-1023,num-1990-1028,num-2015-1028,num-1990-1012,num-2015-1012,num-1990-1027,num-2015-1027,num-1990-1022,num-2015-1022,num-1990-1011,num-2015-1011,pct-1990-1025,pct-2015-1025,pct-diff-1025,pct-1990-1021,pct-2015-1021,pct-diff-1021,pct-1990-1024,pct-2015-1024,pct-diff-1024,pct-1990-1026,pct-2015-1026,pct-diff-1026,pct-1990-1013,pct-2015-1013,pct-diff-1013,pct-1990-1023,pct-2015-1023,pct-diff-1023,pct-1990-1028,pct-2015-1028,pct-diff-1028,pct-1990-1012,pct-2015-1012,pct-diff-1012,pct-1990-1027,pct-2015-1027,pct-diff-1027,pct-1990-1022,pct-2015-1022,pct-diff-1022,pct-1990-1011,pct-2015-1011,pct-diff-1011
12000,Florida,5393564,8039635,922576,1701817,1255139,1726197,568604,1226077,638072,1148015,479650,342380,374804,534142,362544,436921,337238,431413,186424,262305,133000,136175,117814,80298,17.10512752,21.16783909,4.062711569,23.27105046,21.47108668,-1.799963774,10.54226853,15.25040627,4.708137742,11.83024805,14.27944179,2.449193739,8.893006554,4.258651046,-4.634355508,6.949097109,6.643858832,-0.305238277,6.721789155,5.434587515,-1.287201639,6.252600321,5.366076943,-0.886523379,3.456415832,3.262648118,-0.193767714,2.465901953,1.6937958,-0.772106152,2.184344155,0.998776686,-1.18556747
13000,Georgia,2938272,4151011,463438,882073,691901,924956,295408,637941,245939,446563,507171,375418,168574,225196,195566,233653,147299,165335,86053,102452,88822,109141,31495,30074,15.77246763,21.24959438,5.477126749,23.54788801,22.28266801,-1.265220005,10.05380033,15.36832834,5.314528013,8.370191732,10.75793343,2.387741697,17.26085944,9.044013615,-8.216845829,5.737181582,5.425088009,-0.312093573,6.655816752,5.628821509,-1.026995243,5.013116553,3.983005586,-1.030110967,2.928694144,2.468121621,-0.460572523,3.022933207,2.629263088,-0.393670119,1.071888511,0.724498201,-0.347390311
15000,Hawaii,532461,637854,78493,133670,121378,128569,51460,90235,98201,118871,27774,18846,34272,27333,38029,41825,36225,35664,24033,26220,11290,8701,9955,6686,14.74154915,20.95620628,6.214657133,22.79566015,20.15649349,-2.639166659,9.664557592,14.14665425,4.482096658,18.44285309,18.63608287,0.193229774,5.216156676,2.954594625,-2.261562051,6.436527746,4.285149893,-2.151377852,7.142119329,6.557143171,-0.584976158,6.803315172,5.591248154,-1.212067018,4.513570008,4.110658552,-0.402911456,2.120343086,1.364105265,-0.756237821,1.869620498,1.048202253,-0.821418245
16000,Idaho,402392,664792,68427,152195,94658,137330,36016,79915,36094,69915,59734,61589,17698,29415,28126,43226,18631,36151,10445,17444,7807,9929,20891,26677,17.00505974,22.89362688,5.888567136,23.52382751,20.65758914,-2.866238371,8.950476153,12.0210532,3.070577049,8.969860236,10.51682331,1.546963071,14.84472852,9.264401497,-5.580327026,4.398198771,4.424692235,0.026493463,6.989701585,6.502184142,-0.487517443,4.630062228,5.437941491,0.807879264,2.595727549,2.623978628,0.028251079,1.940147915,1.493549862,-0.446598053,5.191703612,4.012834089,-1.178869523
17000,Illinois,5191684,5848451,864111,1313799,1188841,1227540,578635,925147,417012,610471,924273,582196,370630,365030,279892,260142,226135,215002,168372,202022,138454,111601,33486,27118,16.64413705,22.46405074,5.819913691,22.89894762,20.98914738,-1.909800242,11.14542025,15.8186672,4.673246946,8.032307051,10.43816559,2.405858542,17.8029518,9.954704246,-7.848247552,7.138916775,6.241481719,-0.897435057,5.391160171,4.448049578,-0.943110593,4.355715795,3.676221276,-0.679494518,3.243109558,3.454282168,0.211172611,2.666841819,1.908214671,-0.758627148,0.644993031,0.463678331,-0.1813147
18000,Indiana,2448589,2941991,421209,663325,540440,595130,156242,331337,209144,303464,611236,518900,129799,129504,118448,126583,116891,127103,74799,85015,49680,39864,19180,21270,17.20211109,22.54680589,5.344694794,22.07148688,20.22881783,-1.842669054,6.380899367,11.26233901,4.881439641,8.54140895,10.31491939,1.773510436,24.96278469,17.63771541,-7.325069278,5.300971294,4.401916933,-0.899054361,4.837398191,4.30263043,-0.534767762,4.77381055,4.320305535,-0.453505015,3.054779712,2.889709724,-0.165069988,2.028923596,1.355000746,-0.67392285,0.783308264,0.722979778,-0.060328486
19000,Iowa,1183578,1530234,248547,364010,279238,323035,70820,140339,102609,141733,219472,216167,69878,105935,65192,66777,46734,79646,40296,45452,30824,25350,9355,21523,20.99962994,23.78786512,2.788235188,23.59269942,21.11017008,-2.482529346,5.98355157,9.171081024,3.187529454,8.669390611,9.262178203,0.592787592,18.5430956,14.12640158,-4.416694014,5.903962392,6.922797428,1.018835036,5.508044252,4.363842393,-1.14420186,3.948535711,5.204824883,1.256289172,3.404591839,2.970264678,-0.434327161,2.604306603,1.656609381,-0.947697221,0.790399957,1.406516912,0.616116955
20000,Kansas,1063454,1367329,210985,332593,248216,268803,77828,179787,89744,130619,177703,161244,60443,74096,76255,81864,43029,61721,31155,33282,31752,22837,15688,20358,19.83959814,24.32428479,4.484686652,23.34054882,19.65898478,-3.681564036,7.318417158,13.148774,5.830356839,8.438916963,9.552858164,1.113941201,16.70998463,11.79262635,-4.917358281,5.683649692,5.419032288,-0.264617404,7.170502908,5.987147205,-1.183355704,4.046155264,4.513983101,0.467827837,2.929604854,2.43408865,-0.495516203,2.985742684,1.670190569,-1.315552115,1.475193097,1.48888819,0.013695093
21000,Kentucky,1411567,1835550,259374,430239,327478,399161,103438,216519,124758,190612,268302,241345,67470,93090,83324,91539,65457,75836,39936,46556,28324,27935,40452,21953,18.37489825,23.43924164,5.064343393,23.19960724,21.74612514,-1.453482105,7.327884542,11.795865,4.467980457,8.838262725,10.38446242,1.546199698,19.00738683,13.14837515,-5.85901168,4.77979437,5.071504454,0.291710083,5.902943325,4.987006619,-0.915936705,4.637186899,4.131513715,-0.505673184,2.829196205,2.536351502,-0.292844703,2.006564336,1.521887173,-0.484677163,2.865751325,1.195990303,-1.669761022
22000,Louisiana,1546402,1930688,331508,459533,369659,403619,121669,218055,130281,236905,176963,143793,88198,89020,83004,96969,101254,144611,42755,48142,29079,29782,66333,54569,21.43737527,23.80151531,2.36414004,23.90445693,20.90544925,-2.999007677,7.867876529,11.29416042,3.426283895,8.424782172,12.27049632,3.845714149,11.4435315,7.447759555,-3.995771946,5.703432872,4.610791593,-1.092641278,5.367556431,5.02251011,-0.345046321,6.547715277,7.490127872,0.942412594,2.764805012,2.493515265,-0.271289747,1.880429539,1.542558922,-0.337870617,4.289505575,2.82640178,-1.463103795
